Tweets,Output,,,
सुते दधिष्वनश्चनः || तदिन नक्तं तद दिवा मह्यमाहुस्तदयं केतो हर्द आ वि चष्टे | वि तं युयोत शवसा वय ओजसा वि युष्माकाभिर ऊतिभिः || तरणिर्विश्वदर्शतो जयोतिष्क्र्दसि सूर्य |,0,,,
"सर्वोच्च न्यायालय म्हणाले, ओबीसी आरक्षणाशिवाय झालेल्या निवडणुकांचे निकाल कळवा!

https://t.co/1SeNiATvUy

#election #MaharashtraGovernment #SupremeCourt #OBC #OBCReservation #Reservation #Shivsena #Maharashtra #Shivsena 

@ShivSena @ChhaganCBhujbal @BJP4Maharashtra @PMOIndia",0,,,
"संपूर्ण ब्रह्मांड व्यापून असलेली शक्ती, जिच्या साक्षात्काराने जीवनमृत्यू चक्रातून  मोक्ष-अवस्था प्राप्त होते, अशा श्री शाकंभरी देवीला साष्टांग नमस्कार असो.

🌼🌼☘️ शुभ🌕दिनम् ☘️🌼🌼",0,,,
संघ साधना राष्ट्र आराधना चंद्रशेखर आजाद नगर भाबरा जिला अलीराजपुर #संघ_दीपक_हैं https://t.co/RnLJ83gauL https://t.co/VSz0wqqqCX,0,,,
"सई ताम्हणकरबद्दल आणखी गोष्टी जाणून घ्यायच्या असतील, तर कमेंटमध्ये जरूर कळवा!
#SaiTamhankar #Marathi #Actress #सईताम्हणकर #मराठी #म #अभिनेत्री @SaieTamhankar https://t.co/ZIN6BtgLlz",0,,,
विझण्याआधी दिवा जसा जास्त फडफडतो तसे रवी राणा यांचे झाले- ॲड. दिलीप एडतकर https://t.co/2RdicqOsko,0,,,
"रोहित पाटलांच्या या विजयाबद्दल 
आपलं काय मत आहे कमेंट बॉक्स मध्ये जरूर कळवा!

@Lokrajya_News @PawarSpeaks @AjitPawar4Mah @supriya_sule @uddhavthackeray @AUThackeray @RRPSpeaks @RohitPawarSpeak @Jayant_R_Patil @RRPATIL9 @Info_Sangli @nagarparishad @SumanPatil https://t.co/xKgFnCBKqL",0,,,
"रोहित पवारांच्या कर्जत मधील विजयाबद्दल 
आपलं काय मत आहे कमेंट बॉक्स मध्ये जरूर कळवा!

@Lokrajya_News @PawarSpeaks @AjitPawarSpeaks @supriya_sule @OfficeofUT @AUThackeray @RRPSpeaks @RohitPawarSpeak @Jayant_R_Patil  @KarjatJamkhed @AhamadnagarDMC @RamShindeOffice @Dev_Fadnavis https://t.co/y0DqrVhswz",0,,,
मुंबईकडून कापूरबावडी जंक्शन मार्गे घोडबंदर रोडवर जाणारे सर्व वाहनांना माजीवाडा गोल्डन डाईज ब्रिजवर वाय जंक्शन येथे प्रवेश बंद करण्यात येणार आहे. या मार्गावरील अवजड वाहने नाशिक रोडने खारेगाव टोलनाका मार्गे वळविण्यात येणार आहेत.,0,,,
मांगी यागावासाठी पाणीपुरवठामंत्री असताना ५०लक्ष रुपयांची पाणीपुरवठायोजना पूर्ण झाली आहे. तसेच मुख्य चौकामध्ये हायमास्ट दिवा बसविणेसाठी १.२५ लक्ष रुपये इतका निधी माझा चळवळीतीलसहकारी अजयबागल यांच्या माध्यमातून दिला आहे. यापुढेही या गावाच्या विकासासाठी निधी उपलब्ध करून देणार आह.े2/2 https://t.co/4TDsuq9TX2,0,,,
"मध्य रेल्वेवर ७२ तासांचा मेगाब्लॉक! ६ फेब्रुवारीला ठाणे-दिवा मार्गिका खुली
https://t.co/BHdXVKd7RH",0,,,
"ब्रह्मांड प्रवक्ते खासदार संजय राऊत यांनी आज स्वयंघोषित शेतकरी नेते राकेश टिकैत यांची भेट घेतली.
मराठा सरदारांची मानाची पगडी भेट म्हणुन राकेश टिकैत यांना दिली.

आता नक्की झाले!!!
शिवसेना उत्तरप्रदेश विधानसभा मधील २००+ जागा जिंकत सरकार बनवत आहे. https://t.co/iInuimyANs",0,,,
"नगरपंचायत निवडणुकीचे निकाल महाविकास आघाडी सरकारच्या पुढील वाटचालीवर परिणाम करणारे ठरतील का? 

व्यक्त व्हा!
या मुद्द्यावर तुमची प्रतिक्रिया आम्हाला कळवा...

#मांडातुमचंमतएबीपीमाझावर 
#MajhaMatOnABPMajha",0,,,
"दिनांक १२ जानेवारी २०२२ रोजी मा. महापौर श्रीमती ज्योत्स्ना हसनाळे यांनी महानगरपालिका आयुक्त श्री. दिलीप ढोले यांच्या समवेत मिरा भाईंदर शहरातील प्रगतीपथावर असलेल्या ऐतिहासिक घोडबंदर किल्ला, राष्ट्रीय महामार्ग क्र. ८ येथील प्रस्तावित छत्रपती शिवाजी महाराज स्मारक परिसर,(1/2) https://t.co/rzOYJJBY5m",0,,,
"दिनांक 12 जानेवारी 2021 रोजी #मिरा_भाईंदर_महानगरपालिकेच्या माध्यमातून होणाऱ्या #घोडबंदर_किल्ल्याचे सुशोभीकरण कामाचे प्रत्यक्ष जागेवर जाऊन पाहणी केली, सदर वेळी मा. #महापौर ज्योत्स्नाताई हसनाळे, मा. #आयुक्त दिलीप ढोले, मा.#उपमहापौर हसमुख गहलोत व  #प्रशासनाचे पदाधिकारी उपस्थित होते. https://t.co/uqYuUUksmg",0,,,
"थीमपार्कमधील 16 कोटींच्या वस्तू मिळाल्या धुळीला..
थामपार्कमागे ही होती संकल्पना -
घोडबंदर परिसरात रहावयास येणाऱ्या नव्या ठाणेकरांना तसेच नवीन पिढीला जुन्या ऐतिहासिक ठाण्याचे महत्व कळावे. 
#ThaneCity
@niranjandtweets
@DumbreManohar
@Dev_Fadnavis
https://t.co/6jCNlHAhPS
1",0,,,
"तोंडापुढे कोणी ओळखीचा भेटला तर हुंकार देऊन मानेनें आज्ञा दाखवूं लागले. अंगावर ब्रह्मांड कोसळलें. परंतु हिंमत हरली नाहीं. जाग्यावर फक्त हजार-बाराशें मात्र उभे राहिले. चोहोंकडे एकदांच आभाळ पांढरें जाहलें. जिकडे तिकडे पळू लागले.

३/६",0,,,
"ते वर्डल चा काय मॅटर आहे ?
कोणाला माहीत असेल तर कळवा.
आगाऊ धन्यवाद",0,,,
तुमचं मत आम्हाला कमेंटमध्ये कळवा... @rohitrrpatilncp @RohitRRPatil @NCPspeaks @PawarSpeaks @AjitPawarSpeaks #rohitpatil #Sangli #NagarPanchayatElections2022 #nagarpanchayat https://t.co/J5eX8piZg6,0,,,
"ठाण्यातून येणारा घोडबंदर रोड जिथे संपतो आणि दिल्लीला सुरू होऊन मुंबई मार्गे जावून चेन्नईला संपणाऱ्या NH 48 (जुना NH 8) ला मिळतो ते जंक्शन फाऊंटन हॉटेल जंक्शन म्हणुन ओळखलं जातं.
मुंबई आणि ठाणे मधुन येणारी आणि सुरत, अहमदाबाद मार्गे जाणारी आणि येणारी तसेच ठाण्यातून मुंबई कडे + https://t.co/Lpod3Eonhw",0,,,
"ठाणे-बोरिवली भारतातील सर्वात लांब बोगदा; घोडबंदर रिअल इस्टेट आणि ठाणे-बोरिवली दरम्यानच्या प्रवासासाठी गेम चेंजर.......
@TMCaTweetAway @DigiThane 
@WeAreThane @BeyondThane https://t.co/wNGPiDu0zT",0,,,
"ठाणे-दिवा डाऊन जलद मार्गावर 14 तासांचा ब्लॉक; 'या' गाड्या रद्द
https://t.co/DGXvis0pP0
#thane #diva #thanenews #mumbailocal #trainupdate",0,,,
ठाणे महानगरपालिकेच्या माध्यमातून घोडबंदर रोडवरील वाघबीळ येथील प्रेस्टीज रेसीडन्सी येथे नव्याने उभारण्यात आलेल्या संप-पंप हाऊस व जलकुभांचा लोकार्पण सोहळा आज महापौर नरेश मस्के साहेब यांच्या हस्ते आज पार पडला. @nareshmhaske @AUThackeray @SardesaiVarun https://t.co/3OcVj4TyK6,0,,,
"ठाणे ते दिवा पाचवी, सहावी मार्गिका ६ फेब्रुवारीपासून खुली
#Mumbai 

https://t.co/OoaE8QT2po",0,,,
"ठाणे ते दिवा दरम्यान पाचवी मार्गिका सुरू होते आहे, ही मार्गिका खुली करण्यासाठी मध्य रेल्वेकडून तीन दिवसांचा जम्बो मेगाब्लॉक घेण्यात येणार आहे.
#megablock #jumbomegablock #centralrailway  
https://t.co/5cFPuDqWXj",0,,,
"ठाणे : भ्रष्टाचाराच्या आरोपांनी गाजलेल्या घोडबंदर भागातील जुने ठाणे नवीन ठाणे या थीम पार्कची वाताहात झाली असून पार्कची निगा देखभाल करण्यासाठी २२ लाखांचा खर्च केला जाणार असल्याची माहिती पालिका सूत्रांनी दिली.
@TMCaTweetAway

https://t.co/NOcvd143WQ",0,,,
"जयंत दादाव @Jayant_R_Patil 
एकदा ब्रह्मांड निर्माता काकाला बोलायला
लावा महाराष्ट्रात यायला
एलोन मस्क ला
तो नाही म्हणार नाही
😜😜😜😜😜",0,,,
"काय चाललेय छत्रपती भेसलेंच्या राज्यात?

हे मराठी नगरसेवक,महाराजांचे आडनाव वापरुन,स्थानिक मराठी लोकांविरोधात काम करीत आहेत

घोडबंदर,काशी,संजय गांधी राष्ट्रीय उद्यान वनक्षेत्राचा ऱ्हास करीत आहेत. संपूर्ण क्षेत्रात अनधिकृत झोपड्यांना संरक्षण देऊन, परप्रांतीय लोंढे (मतदार) वाढवत आहेत https://t.co/rNkCgD7VI4 https://t.co/dCGv0l0L6V",0,,,
"कल्याण, डोंबिवली आणि कळवा येथील रेल्वेच्या जमिनीवर गेले ३० ते ४० वर्षांपासून राहत असलेल्या रहिवाशांच्या पाठीशी खा.डॉ. श्रीकांत शिंदे दादा खंबीरपणे उभा!

@DrSEShinde
#कल्याण
#डोंबिवली
#कळवा
#रेल्वे_जमिन_रहिवाशी
#खासदार
#डॉ_श्रीकांतएकनाथशिंदे
#कल्याणलोकसभा
#शिवसेना https://t.co/4i80brAXUS",0,,,
ओबीसी आरक्षणाशिवाय झालेल्या निवडणुकांचे निकाल कळवा; सुप्रीम कोर्टाने आदेश - https://t.co/pLDtYNr165,0,,,
"आमदार आशुतोष काळेंच्या वाहनाला मिळाला लाल दिवा
#sarkarnama @AshutoshAKale #Shirdi
 https://t.co/ncI28cocZ6",0,,,
"आमचा महापौर, आमचा अभिमान! 
घोडबंदर रोड येथील प्रभाग क्र. ४ मधील चरणामृत, पंचामृत, प्रातपुष्प, सुरज वॉटर पार्क आणि देवदर्शन सोसायटी तसेच आजूबाजूच्या भागातील जवळपास ४०,००० नागरिकांचा पाण्याचा प्रश्न सोडविल्याबद्दल आपल्या ठाण्याचे महापौर @nareshmhaske साहेब ह्यांचे आभार !
#Shivsena https://t.co/hJpKY0SBRi",0,,,
आजरा तालुक्यातील केडीसीसी ठरावधारकांनी वादळात दिवा लावला. केडीसीसी बँकेच्या संचालकपदी निवडून आल्याबद्दल सुधीर देसाई यांचा सत्कार. https://t.co/ue2G0kJcJr,0,,,
अनंतकोटी ब्रह्मांड नायक महाराजाधिराज योगीराज परब्रम्ह सच्चीदानंद भक्त प्रतिपालक शेगाव निवासी समर्थ सद्गुरू #श्री_गजानन_महाराज की जय https://t.co/E7qUvUrKGS,0,,,
"RT @Yours_Pawan: ब्रह्मांड नेत्याच्या, साध्या खासदाराच्या पक्षाला फक्त 1 सीट!!!

अरे रे !!

खूप वाईट वाटतं हो.jpg",0,,,
"RT @Yours_Pawan: आणखी एक घोटाळा!

ठाण्यातील दिवा येथील एमएमआरडीएच्या भाडेतत्त्व योजनेतील सदनिका बनावट कागदपत्रांच्या आधारे विक्री केल्याप्र…",0,,,
"RT @YashashreeJosh2: श्री गणेश ....... असल्याने 'सर्व शुभकार्य आणि विधी यांच्या आरंभी' श्री गणेशपूजन करतात.
१. विघ्नहर्ता
२. गजानन
🙏 आपले उ…",0,,,
"RT @ToThePointV1_0: @khadaksingh_ भाऊ, काहीही म्हणा पण मावा आघाडी वाल्यांकडे जगात भारी गांजा आहे.. तो चिमुट भर जरी फुकला तरी माणूस ब्रह्मां…",0,,,
"RT @ThirupathiINC: @Central_Railway @RailMinIndia #दिवा #मुंब्रा #कळवा ते #मुलुंड
5 आणि 6 वी मध्य रेल्वे नवीन लोकल रेल्वे ट्रेक.

#Mulund #…",0,,,
"RT @swami_vachan: कळलं की कळवा..

#11pmWords https://t.co/JFnmxQeucf",0,,,
"RT @sukrutdr: वाट धरितां पंढरीची। चिंता हारे संसाराची ॥ 
ऐसे कोठें नसे पायीं। धुंडितां ब्रह्मांड पाही ॥
पाहिली शोधूनीं । तीर्थे आणि देवस्था…",0,,,
RT @SanjeevDeshmu14: अनंतकोटी ब्रह्मांड नायक महाराजाधिराज योगीराज परब्रम्ह सच्चीदानंद भक्त प्रतिपालक शेगाव निवासी समर्थ सद्गुरू #श्री_गजानन…,0,,,
"RT @sambare_nilesh: वाडा तालुक्यातील दिनकरपाडा येथील पिंटी दिवा यांना भगवान महादेव सांबरे हॉस्पिटल, झडपोली येथे उपचारादरम्यान A+ रक्ताच्या…",0,,,
RT @Sadabhau_khot: मांगी यागावासाठी पाणीपुरवठामंत्री असताना ५०लक्ष रुपयांची पाणीपुरवठायोजना पूर्ण झाली आहे. तसेच मुख्य चौकामध्ये हायमास्ट…,0,,,
"RT @pratiksha3009: श्री गणेश ...... असल्याने 'सर्व शुभकार्य आणि विधी यांच्या आरंभी' श्री गणेशपूजन करतात.

१. विघ्नहर्ता

२. गजानन

🙏 आपले उ…",0,,,
"RT @pratiksha3009: 'जय जवान जय किसान' हा नारा कोणत्या राष्ट्रपुरुषाने दिला आहे ?

१. लोकमान्य टिळक

२. लाल बहादूर शास्त्री

🙏 आपले उत्तर आ…",0,,,
"RT @pournimapawar98: मुलीच्या लग्नातील रुखवत चे सामान विकत घ्यायचं आहे , कुणी असेल ओळखीचे तर या ट्विट ला रिप्लाय करून कळवा",0,,,
